post_id,title,category,score,num_comments,author,collected_at
49662371,A misalignment of AI in mathematics,AI,805,803,meredydd,2026-09-12T11:41:54.434953
49668914,OpenAI agents attacked RubyGems back in May,AI,17,1,lumpa,2026-09-12T11:41:57.570516
49626718,A Design Space Exploration of Async/Await,AI,225,48,wcrichton,2026-09-12T11:41:59.616589
49666735,OpenAI agents carried out an undisclosed attack on RubyGems,AI,561,323,chao-,2026-09-12T11:42:00.256815
49662767,Litelm: LiteLLM Without the Bloat,AI,119,39,kennethwolters,2026-09-12T11:42:03.098267
49665711,AI researchers debate how close we are to recursive self-improvement,AI,85,74,artninja1988,2026-09-12T11:42:04.529475
49656225,Claude is only available to people over 18 years,AI,617,621,Muhammad523,2026-09-12T11:42:13.031371
49663054,CIA Releases President's Daily Briefs in Commemoration of 9/11,AI,131,64,stmw,2026-09-12T11:42:18.150470
49667253,Bernie's AI bill proposes to sentence AI developers to 20 years in prison,AI,39,13,bilsbie,2026-09-12T11:42:29.824408
49659647,"Show HN: Hacker News, without AI",AI,181,84,postalcoder,2026-09-12T11:42:32.692563
49667846,"OpenAI: ""We use ... de-identified data to improve ChatGPT""",AI,14,6,nycdatasci,2026-09-12T11:42:37.506371
49660482,Hacker News with reduced priority for AI driven content,AI,114,54,sammy0910,2026-09-12T11:42:38.143970
49660783,"Show HN: Hacker News, Without AI",AI,181,77,otherayden,2026-09-12T11:42:42.712224
49647300,Detecting and countering misuse of AI: September 2026,AI,173,234,garo-pro,2026-09-12T11:42:47.026645
49649213,OpenAI Agents API,AI,338,178,aquir,2026-09-12T11:42:47.742729
49651046,Copying login keychains between Macs fails on Secure Enclave Macs with Tahoe,AI,70,61,zdw,2026-09-12T11:42:48.391764
49666267,They do think AI might kill everyone,AI,27,0,vladmashk,2026-09-12T11:42:51.841806
49658483,Show HN: Clawfight.ai MCP-driven agentic game play,AI,13,13,wesleyhales,2026-09-12T11:42:53.273409
49661856,Show HN: Extension to filter LLM written articles,AI,16,1,nilsherzig,2026-09-12T11:42:54.577212
49644179,AI Is Breaking This Thing We Call Trust,AI,115,61,matheusml,2026-09-12T11:42:55.936506
49665862,FreelanceFend – AI web app and extension to screen freelance clients,AI,3,0,RezonReiTy,2026-09-12T11:42:57.371278
49626190,Shopify acquires Tailwind,AI,1136,444,EdwinHoksberg,2026-09-12T11:42:59.828909
49639408,More questions about whether researchers can trust OpenAI with unpublished math,AI,861,806,pred_,2026-09-12T11:43:03.412428
49666769,ChatGPT puts 20x Plan on hold,AI,13,1,josefchen,2026-09-12T11:43:04.233856
49613072,Compute-efficient pretraining and scaling to trillion-parameter models,AI,117,62,ronfriedhaber,2026-09-12T11:43:06.251857
49622406,Logo Programming Language,Technology,258,106,azhenley,2026-09-12T11:42:10.881446
49662214,Λ Snap – An inviting programming language for kids and adults for CS study,Technology,133,75,dr_kiszonka,2026-09-12T11:42:11.600411
49645437,Technique for Manipulating Satellite Photos Now Reveals Ancient Images (2025),Technology,370,70,gumby,2026-09-12T11:42:53.929719
49624856,How I advertise malicious software on Google Ads,Technology,432,260,xlii,2026-09-12T11:44:09.801042
49646181,I have a theory that software drives people insane,Technology,459,195,rglover,2026-09-12T11:44:28.089608
49605246,How well do agents use test/verification techniques?,Technology,189,72,vinhnx,2026-09-12T11:44:35.184421
49621102,"A Biography of Lee Holloway, the Architect of Cloudflare's Technology (Part 1)",Technology,101,22,porridgeraisin,2026-09-12T11:44:37.316743
49612191,C*: Unifying Programming and Verification in C (2025),Technology,82,59,rramadass,2026-09-12T11:45:29.643084
49662246,"Rope, twine and thread: Invisible technologies of the Stone Age",Technology,3,0,knowablemag,2026-09-12T11:45:52.785092
49596055,Caltech Mathathon – first hackathon ever devoted to research level mathematics,Technology,269,105,astroanax,2026-09-12T11:45:54.219348
49597806,The origins of Partner’s computer case,Technology,40,5,markostamcar,2026-09-12T11:45:58.419022
